px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	v_true	yaw_angle_true	yaw_rate_true	vx_true	vy_true	NIS
109.536	13.5547	1.46603	-0.00684119	0.156682	109.534	13.5714	109.606	13.2536	1.62612	-0.234969	0	1.58144	-0.378583	0.134827	0
109.505	13.5497	1.45911	-0.0138568	0.15333	109.388	13.1556	109.606	13.2536	1.62612	-0.234969	0	1.58144	-0.378583	0	0.371387
111.051	12.6899	1.54605	-0.554452	-0.213338	111.063	12.5814	111.196	12.9118	1.72058	-0.188596	0	1.69008	-0.322574	5.14591	0
111.148	12.7232	1.84814	-0.509265	-0.17091	111.426	12.9557	111.196	12.9118	1.72058	-0.188596	0	1.69008	-0.322574	0	2.09024
112.876	12.4308	1.69277	-0.200388	0.0872692	112.913	12.4877	112.893	12.6299	1.81784	-0.140587	0	1.7999	-0.254723	2.46985	0
112.882	12.4268	1.79314	-0.19516	0.0912518	112.797	12.8241	112.893	12.6299	1.81784	-0.140587	0	1.7999	-0.254723	0	0.134862
114.778	12.5152	1.92613	0.136782	0.224941	114.801	12.5506	114.699	12.4195	1.91691	-0.0914236	0	1.90891	-0.175007	0.818678	0
114.79	12.5195	1.87045	0.141836	0.227405	114.916	12.3187	114.699	12.4195	1.91691	-0.0914236	0	1.90891	-0.175007	0	0.185672
116.676	12.1735	1.79769	-0.130044	-0.049379	116.687	12.1035	116.611	12.2921	2.01681	-0.0415965	0	2.01507	-0.0838683	2.78474	0
116.732	12.1903	2.0536	-0.122914	-0.0378091	116.871	12.0659	116.611	12.2921	2.01681	-0.0415965	0	2.01507	-0.0838683	0	0.764719
118.926	11.9923	2.29733	-0.0912339	0.00385998	118.953	12.0009	118.628	12.2586	2.11655	0.0083964	0	2.11648	0.0177712	0.328081	0
118.912	11.9913	2.22088	-0.0951565	0.000527476	118.85	12.4063	118.628	12.2586	2.11655	0.0083964	0	2.11648	0.0177712	0	0.0702504
120.732	12.259	1.79109	0.143177	0.135865	120.695	12.2918	120.743	12.3289	2.21512	0.0580556	0	2.21139	0.128528	1.35694	0
120.793	12.2582	2.04989	0.144066	0.135269	120.934	12.1905	120.743	12.3289	2.21512	0.0580556	0	2.21139	0.128528	0	0.788745
123.481	12.8149	2.92448	0.268335	0.123897	123.568	12.8297	122.95	12.5114	2.31154	0.106885	0	2.29835	0.246599	3.29605	0
123.382	12.811	2.54996	0.289995	0.142274	123.142	12.7694	122.95	12.5114	2.31154	0.106885	0	2.29835	0.246599	0	1.93966
124.989	12.8357	1.41773	0.171657	-0.000133784	124.894	12.7743	125.242	12.8125	2.40485	0.154397	0	2.37624	0.369827	5.93684	0
125.139	12.8717	2.19649	0.157548	-0.0073627	125.376	12.9964	125.242	12.8125	2.40485	0.154397	0	2.37624	0.369827	0	5.98763
127.79	13.3148	2.82923	0.165117	0.00313699	127.853	13.3273	127.609	13.2365	2.49411	0.200116	0	2.44434	0.495787	1.72086	0
127.721	13.3077	2.63569	0.168766	0.00677966	127.506	13.153	127.609	13.2365	2.49411	0.200116	0	2.44434	0.495787	0	0.973422
129.98	13.7014	2.31166	0.174535	0.00683473	129.947	13.6963	130.042	13.7853	2.57844	0.243586	0	2.50232	0.621879	0.451488	0
130.047	13.7085	2.40717	0.172238	0.00519982	130.334	13.781	130.042	13.7853	2.57844	0.243586	0	2.50232	0.621879	0	1.18766
132.119	14.4816	2.19574	0.37755	0.126692	132.092	14.507	132.53	14.458	2.65699	0.284372	0	2.55028	0.74543	0.767464	0
132.209	14.4832	2.54062	0.359702	0.107695	132.447	14.3423	132.53	14.458	2.65699	0.284372	0	2.55028	0.74543	0	1.64458
135.016	15.0687	2.9378	0.17692	-0.069486	135.074	15.0475	135.066	15.2513	2.72897	0.322067	0	2.58865	0.863795	1.94962	0
